,#,open_score,close_score,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-11-02,0,0.0,0.0,949.0,961.5,945.2,959.85,959.8,1650838.0,15739.3
2016-02-17,1,0.2126,0.0,935.1,957.45,916.4,956.1,952.6,3529832.0,33121.7
2016-02-24,2,0.0,0.0,944.9,958.55,942.0,955.0,952.65,3471311.0,33071.67
2016-02-26,3,0.12533125,0.0,953.0,958.75,944.3,953.0,950.35,1908533.0,18163.32
2016-03-04,5,0.24085,0.0,1014.0,1015.0,1003.5,1007.5,1006.4,2054428.0,20701.43
2016-03-09,6,0.156875,0.0,1020.0,1043.9,1018.6,1041.9,1041.7,2709831.0,28011.41
2016-03-10,7,0.245825,0.0,1042.05,1045.9,1009.0,1009.15,1011.75,4733124.0,48203.13
2016-03-11,8,0.2219875,0.0,1014.9,1029.55,1010.6,1015.4,1014.5,3501676.0,35696.87
2016-03-17,9,0.0,0.0,1027.0,1036.9,1012.0,1014.5,1016.0,3847740.0,39497.32
2016-03-28,10,0.0,0.0,1030.0,1031.7,1015.65,1022.5,1020.4,4130553.0,42246.25
2016-03-30,11,0.24684166666666665,0.0,1042.7,1051.75,1042.7,1047.4,1047.05,3303780.0,34607.65
2016-04-04,12,0.0007874999999999965,0.0,1040.0,1042.2,1025.3,1035.75,1035.05,1973260.0,20367.84
2016-04-08,13,0.24100000000000002,0.0,1035.9,1054.45,1031.2,1035.0,1036.35,3065701.0,31939.15
2016-04-11,14,0.246775,0.0,1037.0,1045.5,1033.0,1039.2,1040.3,2356318.0,24515.17
2016-04-20,15,0.2486625,0.0,1069.2,1069.2,1035.8,1037.15,1037.3,4957497.0,51796.68
2016-04-21,16,-0.239525,0.0,1041.4,1052.0,1035.0,1039.5,1041.15,2601436.0,27120.48
2016-04-22,17,0.2494,0.0,1039.0,1047.5,1029.3,1040.5,1038.95,2675586.0,27803.46
2016-05-06,19,0.248775,0.0,973.0,976.8,967.0,969.15,968.95,3371220.0,32737.38
2016-05-16,20,0.10708125,0.0,977.0,982.5,971.1,974.5,975.95,2132072.0,20817.6
2016-05-23,21,0.0,0.2274,937.35,940.7,925.65,931.1,930.0,4198098.0,39145.38
2016-05-24,22,0.249175,0.0,928.05,944.0,928.05,941.0,940.45,2807737.0,26388.77
2016-05-26,23,0.204725,0.0,950.0,952.4,944.1,947.3,946.85,3243601.0,30737.08
2016-05-27,24,0.0,0.0,949.05,976.9,948.75,973.1,974.7,3063379.0,29617.41
2016-05-31,25,0.0,0.0,969.0,973.0,956.5,959.0,957.85,5333469.0,51199.73
2016-06-02,26,0.0,0.0,954.5,957.15,945.1,955.35,956.25,2343852.0,22277.61
2016-06-06,27,0.0,0.0,961.0,963.0,952.55,954.45,954.8,1982466.0,18971.47
2016-06-09,28,0.19777,0.0,960.0,976.45,956.2,970.0,971.15,3575840.0,34726.42
2016-06-10,29,0.03486875,0.0,974.0,984.4,968.3,975.7,976.7,3729737.0,36426.13
2016-06-14,30,0.0,-0.24315,980.95,985.4,969.3,976.3,976.25,2497008.0,24408.17
2016-06-17,31,-0.23175,0.0,977.0,978.65,970.1,973.0,974.9,2408096.0,23461.37
2016-06-22,32,0.0,0.0,985.0,985.9,977.1,978.0,980.5,2923284.0,28668.89
2016-06-23,33,0.0,0.0,979.95,982.0,970.0,981.0,980.45,2248693.0,21935.89
2016-06-24,34,0.22165,0.0,964.9,964.9,933.4,948.55,951.45,5711173.0,54093.47
2016-06-27,35,0.243975,0.0,940.5,958.4,940.5,953.9,955.65,2094599.0,19977.42
2016-06-29,36,0.0,0.0,962.0,968.95,960.0,967.0,966.9,1719857.0,16593.61
2016-07-04,37,0.0,0.21595,975.5,993.6,975.5,986.35,986.7,1783750.0,17613.47
2016-07-11,39,0.00033749999999999064,0.0,991.0,994.95,985.5,991.55,992.5,1889606.0,18730.69
2016-07-12,40,0.0,0.0,995.25,1005.0,991.0,1003.4,1003.4,2232685.0,22290.7
2016-07-15,41,0.0,0.2455,1009.0,1021.0,1003.5,1014.35,1012.2,3198562.0,32411.76
2016-07-18,43,0.15040833333333334,0.0,1028.0,1038.75,1001.75,1002.9,1006.25,7339086.0,75183.09
2016-07-21,44,0.248725,0.0,1024.0,1025.0,1005.0,1006.2,1006.35,1534044.0,15512.05
2016-07-22,45,0.2456375,0.0,1006.0,1017.8,1005.1,1015.9,1014.85,1577114.0,15982.05
2016-07-25,46,0.1239,0.0,1014.0,1023.75,1007.35,1020.5,1022.75,1883884.0,19149.75
2016-07-29,47,0.16415833333333332,-0.108525,1024.0,1024.9,1012.0,1016.05,1014.9,2201164.0,22364.79
2016-08-02,48,0.0,0.0,1008.0,1020.0,1006.3,1013.0,1012.8,1762408.0,17882.92
2016-08-03,49,0.0,0.0,1014.4,1014.4,991.5,992.9,993.95,2713804.0,27083.66
2016-08-08,50,0.21511666666666665,0.0,1019.9,1034.0,1018.65,1027.3,1029.25,3098753.0,31900.41
2016-08-09,51,0.245475,0.0,1027.0,1034.5,1021.0,1029.9,1030.7,3038046.0,31224.6
2016-08-16,53,0.0,0.0,1036.25,1044.8,1015.5,1023.65,1024.9,3055603.0,31412.11
2016-08-24,55,0.0,-0.2377,1011.7,1021.95,1011.0,1021.25,1020.5,1993153.0,20272.91
2016-08-26,56,0.249,0.0,1017.9,1030.8,1014.6,1026.6,1027.9,2203465.0,22581.52
2016-09-09,59,0.18470416666666667,0.0,1035.0,1049.9,1030.0,1041.5,1044.55,3490441.0,36387.08
2016-09-12,60,0.247775,0.0,1030.4,1056.0,1029.15,1046.95,1046.5,7699800.0,80615.95
2016-09-16,61,0.0,0.0,1067.0,1093.85,1059.1,1072.9,1075.55,8988926.0,97107.11
2016-09-22,62,0.0410625,0.049745,1083.0,1095.8,1079.0,1086.95,1088.95,4288544.0,46752.51
2016-09-23,63,0.0,0.1245625,1089.0,1109.45,1089.0,1101.6,1102.8,7105725.0,78183.1
2016-09-26,65,0.0,0.0,1103.4,1129.55,1100.25,1106.3,1107.2,8734943.0,97712.18
2016-09-27,66,0.0,0.247525,1117.0,1125.95,1106.6,1110.9,1110.5,4428693.0,49394.99
2016-09-29,67,0.2015325000000001,0.0,1095.0,1110.75,1067.4,1074.55,1072.45,4859746.0,52729.9
2016-10-04,70,0.04879375,0.12145,1093.05,1108.3,1092.0,1095.0,1096.35,2997544.0,32990.04
2016-10-05,71,0.1702,0.0,1104.0,1106.5,1085.8,1090.0,1089.4,2466397.0,27012.25
2016-10-06,72,0.24575,0.0,1092.0,1126.25,1092.0,1112.0,1110.8,4825630.0,53764.75
2016-10-07,73,0.22565,0.0,1114.0,1123.05,1106.5,1106.95,1109.0,3492838.0,38914.48
2016-10-10,75,0.2290611111111111,0.0,1114.0,1122.0,1094.0,1096.0,1096.35,2640973.0,29202.23
2016-10-13,78,0.14909,0.00029500000000000083,1089.0,1089.05,1052.0,1058.5,1057.15,5014667.0,53542.77
2016-10-14,79,0.1639625,0.04993,1063.0,1082.0,1061.65,1078.95,1077.65,3489473.0,37453.23
2016-10-17,81,0.138745,0.06019375,1080.0,1080.8,1058.75,1060.4,1060.65,2246237.0,24002.18
2016-10-18,82,0.09603,-0.0001549999999999996,1066.0,1082.75,1062.05,1079.55,1081.1,2531133.0,27252.92
2016-10-19,83,0.12821875,0.0,1084.45,1094.7,1081.4,1087.0,1087.35,3902656.0,42488.85
2016-10-20,84,0.12130714285714285,0.0,1093.95,1098.0,1084.05,1086.1,1087.55,2314521.0,25226.56
2016-10-21,85,0.10741875,0.0,1097.0,1097.0,1058.4,1065.0,1064.2,9968242.0,106565.37
2016-10-24,88,0.0,0.1248625,1070.0,1074.0,1060.65,1063.3,1063.3,2403099.0,25650.02
2016-10-25,89,0.15009375,0.08169166666666666,1065.0,1065.25,1054.2,1063.5,1060.85,1750711.0,18553.16
2016-10-26,90,0.24565,0.0,1056.05,1059.45,1052.1,1054.5,1054.05,2502055.0,26388.36
2016-10-27,91,0.06168125,0.007249999999999999,1051.1,1053.9,1043.4,1050.5,1048.7,2935574.0,30785.14
2016-10-28,92,0.10050833333333337,0.0517875,1050.0,1058.0,1043.8,1056.0,1054.95,1857917.0,19555.99
2016-11-01,95,0.1200425,0.0,1051.3,1055.95,1047.4,1052.0,1051.0,2337011.0,24563.56
2016-11-02,96,0.16494375000000006,0.062015625,1041.0,1042.85,1021.0,1026.4,1023.75,1609225.0,16570.27
2016-11-03,97,0.1155375,0.10951944444444443,1023.85,1034.75,1020.6,1021.9,1023.95,1671371.0,17181.33
2016-11-04,98,0.07085,0.08870416666666665,1020.25,1026.9,1000.0,1006.55,1005.55,2636911.0,26654.8
2016-11-07,101,0.01568333333333333,0.06219375,1014.0,1016.55,999.05,1000.0,1001.15,2172921.0,21837.86
2016-11-08,102,0.07863333333333332,0.02975,1005.7,1005.7,998.3,1003.9,1003.5,3070346.0,30755.64
2016-11-09,103,0.19179791666666668,0.0,950.0,1009.0,930.0,1003.0,1004.6,4946573.0,48546.75
2016-11-10,104,0.105725,0.0245875,1018.6,1028.95,1007.0,1008.05,1010.4,2231907.0,22721.75
2016-11-11,105,0.10250625,0.03119833333333333,997.85,1017.5,995.1,998.0,1001.75,3377392.0,33900.26
2016-11-15,109,0.17330357142857142,0.0,996.5,1000.0,979.55,982.85,985.4,3311592.0,32744.82
2016-11-16,110,0.246725,0.0,995.0,996.8,980.7,982.05,986.55,3783226.0,37476.03
2016-11-24,111,-0.144175,0.0,1005.55,1005.55,982.2,992.4,987.35,4323375.0,42789.89
2016-12-09,112,-0.2376,0.0,1022.0,1031.85,1020.3,1028.95,1028.95,1883333.0,19360.18
2016-12-12,114,0.0,0.0,1020.5,1041.7,1020.5,1024.9,1027.2,2062700.0,21335.3
2016-12-14,115,0.18106875,0.0,1039.8,1064.45,1038.2,1056.35,1059.5,5517829.0,58309.98
2016-12-16,116,0.15176666666666666,0.0,1052.0,1062.0,1052.0,1055.85,1057.15,3415537.0,36114.0
2016-12-20,117,0.0,0.054225,1054.7,1061.0,1053.15,1060.0,1057.9,2671719.0,28284.03
2016-12-23,118,-0.0026874999999999954,0.0,1052.0,1068.95,1052.0,1059.9,1057.3,2346414.0,24869.9
2016-12-26,120,0.249125,0.0,1054.35,1066.0,1044.65,1044.95,1047.45,3502299.0,37001.31
2017-01-03,121,0.0197,0.1218875,1089.85,1097.0,1081.1,1089.0,1089.4,1470751.0,16056.82
2017-01-04,122,0.0,0.249175,1092.9,1093.0,1064.3,1067.15,1067.15,2375547.0,25475.14
2017-01-05,123,0.0,0.0,1071.0,1079.9,1068.75,1077.0,1077.4,1996483.0,21504.52
2017-01-06,124,0.12384166666666667,-0.10903125,1074.2,1085.0,1073.1,1073.95,1074.95,1793427.0,19347.04
2017-01-09,125,0.0,0.013937500000000005,1077.0,1086.0,1071.0,1078.0,1077.7,1195257.0,12901.71
2017-01-10,126,0.0,0.06983750000000001,1080.0,1094.4,1080.0,1088.0,1089.85,2594400.0,28274.65
2017-01-11,127,-0.0060125000000000005,0.1067777777777778,1095.0,1095.7,1084.0,1084.8,1086.05,2623211.0,28529.43
2017-01-12,128,0.03542142857142857,0.0,1087.0,1090.35,1079.8,1080.45,1083.3,999364.0,10839.38
2017-01-13,129,0.0,0.1185375,1084.55,1097.5,1084.55,1089.95,1090.4,1653669.0,18056.54
