,score
2015-11-02,0.0
2016-02-17,0.0
2016-02-24,0.0
2016-02-26,0.0
2016-02-28,0.0
2016-03-04,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-17,0.0
2016-03-28,0.0
2016-03-30,0.0
2016-04-04,0.0
2016-04-08,0.0
2016-04-11,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-05-06,0.0
2016-05-16,0.0
2016-05-23,0.2274
2016-05-24,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-31,0.0
2016-06-02,0.0
2016-06-06,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-14,-0.24315
2016-06-17,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-27,0.0
2016-06-29,0.0
2016-07-04,0.21595
2016-07-06,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-15,0.2455
2016-07-16,0.0
2016-07-18,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-25,0.0
2016-07-29,-0.108525
2016-08-02,0.0
2016-08-03,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-20,0.0
2016-08-24,-0.2377
2016-08-26,0.0
2016-08-28,0.0
2016-09-04,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-16,0.0
2016-09-22,0.049745
2016-09-23,0.1245625
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.247525
2016-09-29,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-04,0.12145
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,-0.046045
2016-10-13,0.00029500000000000083
2016-10-14,0.04993
2016-10-16,0.24785
2016-10-17,0.06019375
2016-10-18,-0.0001549999999999996
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.2051
2016-10-23,0.016845
2016-10-24,0.1248625
2016-10-25,0.08169166666666666
2016-10-26,0.0
2016-10-27,0.0072499999999999995
2016-10-28,0.0517875
2016-10-29,0.0
2016-10-31,0.081125
2016-11-01,0.0
2016-11-02,0.062015625
2016-11-03,0.10951944444444445
2016-11-04,0.08870416666666665
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.06219375
2016-11-08,0.02975
2016-11-09,0.0
2016-11-10,0.0245875
2016-11-11,0.031198333333333335
2016-11-12,0.0599875
2016-11-13,0.095625
2016-11-14,0.0002249999999999995
2016-11-15,0.0
2016-11-16,0.0
2016-11-24,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-12,0.0
2016-12-14,0.0
2016-12-16,0.0
2016-12-20,0.054225
2016-12-23,0.0
2016-12-24,0.0
2016-12-26,0.0
2017-01-03,0.1218875
2017-01-04,0.249175
2017-01-05,0.0
2017-01-06,-0.10903125
2017-01-09,0.013937500000000005
2017-01-10,0.06983750000000001
2017-01-11,0.10677777777777779
2017-01-12,0.0
2017-01-13,0.1185375
2017-01-14,0.0
2017-01-15,-0.0658375
2017-01-16,0.04134583333333333
2017-01-17,0.089925
2017-01-18,0.0
2017-01-19,0.04869
2017-01-20,0.0
2017-01-21,0.027775
2017-01-22,0.23615
2017-01-23,-0.005300000000000002
2017-01-24,0.041058333333333336
2017-01-25,0.041487500000000004
2017-01-26,0.098315
2017-01-27,0.09965500000000001
2017-01-28,0.08290833333333333
2017-01-29,0.07945
2017-01-30,0.06363125
2017-01-31,0.04873333333333334
2017-02-01,0.12362499999999998
2017-02-02,0.041688888888888886
2017-02-03,0.022093181818181817
2017-02-04,0.0
