id,date,intro,title
wAqHakvfhYcwpMczjB2fVO,"Tue, Feb 23 2016. 12 42 AM","The companys strong order book has kept the stock ticking and it trades at an expensive 17 times the estimated earnings per share of fiscal year 2017
","Motherson Sumi does well amid adversities, but stock expensive"
Y69uFBnOO9vWwyoHJfFQtI,"Tue, Mar 08 2016. 12 25 AM","Shares of sugar mills are reaching new highs every other day with no specific news supporting the gains. Are investors riding their luck too far?
",Will rally in sugar shares leave a bitter aftertaste?
2zI6ULfR4l32tBvoz13ndM,"Sun, Feb 28 2016. 11 00 PM","A faster rate of decline in total operating expenses meant Castrol was able to clock an operating profit margin of 27%, higher year-on-year but lower sequentially
",Castrol India awaits volume recovery
2pfYg9dpuy859sgse4uvTN,"Fri, Feb 26 2016. 12 35 AM","Overall, estimated capital requirement for the banking system is between Rs2.5 trillion and Rs3 trillion over the next four years compared with the governments promise of Rs70,000 crore
",A budget for the banking sector
punG030DVd4NEbcpHGzCIJ,"Fri, Feb 26 2016. 12 22 AM","After a poor December quarter, earnings downgrades continue. The main culprits are public sector banks and commodity producers, but there are enough of them to pull down Nifty 50 estimates
",Another pushback to earnings recovery
4K3Wxb6Muf9pmFztI6WoqM,"Fri, Feb 26 2016. 07 47 AM","The highlight of railways budget is the scaling up of capital expenditure to Rs1.2 trillion for the next fiscal year, which is commendable, but believing the big numbers requires a leap of faith
",Indian Railways: faith-based budgeting
vfWEzeZWt6bqc8NbjKudoJ,"Thu, Feb 25 2016. 04 50 PM","Indian e-commerce is a three-way poker game between Jeff Bezos, Lee Fixel and Masayoshi Son
",Amazons Jeff Bezos has the best hand in Indias e-commerce game
CxQqNbBfv03REevFSeWnOO,"Tue, Feb 23 2016. 12 25 AM","The primary issue afflicting the industrys growth is urea price control
",Fertilizer subsidy: will the govt bite the bullet?
DKC8KFkhwmynU6WgdbZIXP,"Thu, Feb 11 2016. 12 39 AM","There are doubts whether recovery will be sustained because of its high capacity utilization and legacy factors
","Volume growth recovers at ACC, but questions remain"
TOaV2AA7rLEW2O5JR6mVFJ,"Thu, Feb 11 2016. 12 28 AM","Investors will require more than one good quarter from GAIL to alter their view on the stock
",GAIL stock: good results priced in
csS5OxgT9SiOG46Go17jIO,"Fri, Feb 19 2016. 01 09 AM","The announcement by the poster boy of container shipping to use its leverage to create responsible ship recycling options is music to ears of Alang ship breakers 
",The road to redemption for Alang begins with Maersk Line
HBF3Apnsz3x5JRQAwjIMyO,"Wed, Feb 17 2016. 04 47 PM","Dr Reddys share buyback price of Rs3,500 apiece represents an 18% premium to their closing price on Wednesday
","Dr Reddys board approves share buyback for Rs3,500 apiece"
