href,title,date,intro
http://www.livemint.com/Companies/mT5iMbhlQr572RKNSS2vNI/Lodha-Developers-to-invest-Rs4300-crore-in-construction-to.html,"Lodha Developers to invest Rs4,300 crore in construction to boost deliveries","Sun, Apr 23 2017. 03 40 PM","Lodha Developers MD Abhishek Lodha says the firm will launch 8-9 projects in FY18, of which 6-7 will be in Mumbai Metropolitan Region, one in Pune and one in London "
http://www.livemint.com/Companies/O9ybjew1fPKkKMiyKA47ZN/Overbooking-flights-Civil-aviation-ministry-pushes-for-tran.html,Overbooking flights: Civil aviation ministry pushes for transparent mechanism,"Sun, Apr 23 2017. 11 53 AM",The civil aviation ministry is looking at ways to bring in transparency in the practice of overbooking seats by airlines
http://www.livemint.com/Consumer/4gLaUB1aLYz6sE1GiXT9PL/Why-are-brands-turning-to-live-video-streaming.html,Why are brands turning to live video streaming? ,"Sat, Apr 22 2017. 12 06 AM","Live videos are growing in popularity because they are immersive and engaging, giving consumers a front-row experience, say analysts"
http://www.livemint.com/Consumer/GOQYIe1i3FS90FGTnLtQ2H/For-us-time-is-a-very-different-concept-Eric-Vallat.html,"For us, time is a very different concept: Eric Vallat","Sat, Apr 22 2017. 12 33 AM","Chief executive officer of the House of Rémy Martin on Cognac as a luxury product, futuristic marketing for a historical brand, and engagement and unique brand strategies"
http://www.livemint.com/Companies/mbTZKdkBru2fvzUgdavZbI/Maruti-Suzuki-to-launch-all-new-Dzire-next-month.html,Maruti Suzuki to launch all new Dzire next month,"Sat, Apr 22 2017. 11 21 AM","Maruti Suzuki  unveils a sketch of its best selling compact sedan Dzire, plans to launch next month"
http://www.livemint.com/Companies/mT5iMbhlQr572RKNSS2vNI/Lodha-Developers-to-invest-Rs4300-crore-in-construction-to.html,"Lodha Developers to invest Rs4,300 crore in construction to boost deliveries","Sun, Apr 23 2017. 03 40 PM","Lodha Developers MD Abhishek Lodha says the firm will launch 8-9 projects in FY18, of which 6-7 will be in Mumbai Metropolitan Region, one in Pune and one in London "
http://www.livemint.com/Companies/O9ybjew1fPKkKMiyKA47ZN/Overbooking-flights-Civil-aviation-ministry-pushes-for-tran.html,Overbooking flights: Civil aviation ministry pushes for transparent mechanism,"Sun, Apr 23 2017. 11 53 AM",The civil aviation ministry is looking at ways to bring in transparency in the practice of overbooking seats by airlines
http://www.livemint.com/Consumer/4gLaUB1aLYz6sE1GiXT9PL/Why-are-brands-turning-to-live-video-streaming.html,Why are brands turning to live video streaming? ,"Sat, Apr 22 2017. 12 06 AM","Live videos are growing in popularity because they are immersive and engaging, giving consumers a front-row experience, say analysts"
http://www.livemint.com/Consumer/GOQYIe1i3FS90FGTnLtQ2H/For-us-time-is-a-very-different-concept-Eric-Vallat.html,"For us, time is a very different concept: Eric Vallat","Sat, Apr 22 2017. 12 33 AM","Chief executive officer of the House of Rémy Martin on Cognac as a luxury product, futuristic marketing for a historical brand, and engagement and unique brand strategies"
http://www.livemint.com/Companies/mbTZKdkBru2fvzUgdavZbI/Maruti-Suzuki-to-launch-all-new-Dzire-next-month.html,Maruti Suzuki to launch all new Dzire next month,"Sat, Apr 22 2017. 11 21 AM","Maruti Suzuki  unveils a sketch of its best selling compact sedan Dzire, plans to launch next month"
http://www.livemint.com/Companies/6AAYRp8Ffn3CYRQBpIbYsL/ShopClues-bets-on-fashion-segment-to-drive-growth.html,ShopClues bets on  fashion segment to drive growth,"Fri, Apr 21 2017. 11 00 PM",ShopClues has launched a dedicated television marketing campaign for the category and aims to double sales from fashion over 10 months
http://www.livemint.com/Companies/6AAYRp8Ffn3CYRQBpIbYsL/ShopClues-bets-on-fashion-segment-to-drive-growth.html,ShopClues bets on  fashion segment to drive growth,"Fri, Apr 21 2017. 11 00 PM",ShopClues has launched a dedicated television marketing campaign for the category and aims to double sales from fashion over 10 months
