id,date,intro,title
l6ZZfNNpCkxqz5BaNxRMvK,"Sat, Feb 04 2017. 11 43 AM","India Post Payments Bank will offer an interest rate of 4.5% on deposits up to Rs25,000; 5% on deposits of Rs25,000-50,000 and 5.5% on Rs50,000-1,00,000",PNB to help India Post Payments Bank set up pilot branches
bRDDR7SPed23hGgtvwtKWM,"Fri, Feb 03 2017. 11 52 PM",A revolution is brewing in the financial ecosystem that will extend the benefits of formal financial services to the masses,India in 10 years: The beginning of a digital era of inclusive finance
RvtmwWTchcn27Lxe4mMKJP,"Fri, Feb 03 2017. 09 11 PM",The agency filed the chargesheet against the Axis Bank staff  before a special Prevention of Money Laundering Act court ,Note ban: ED files 1st money laundering chargesheet against Axis Bank staff
fO9MqOYEYEFHddP6D70jgO,"Fri, Feb 03 2017. 08 45 PM","HDFC Bank has capped third-party transactions at Rs25,000 a day, reduced the number of free cash transactions at branches to four from five earlier",HDFC Bank increases cash transaction fees on savings accounts
JFO6zT8NLYDaVVjwY1K9XI,"Fri, Feb 03 2017. 04 06 PM","Nikkei India Composite PMI Output Index rose to 49.4 in January from Decembers 38-month low of 47.6, pointing to a weaker contraction in private sector activity",Services sector contracts for third month: PMI Survey
vl8B1EwUpNxFwfFFOqSLdO,"Fri, Feb 03 2017. 02 34 PM","Amazon is encouraged by its progress in India so far and the response it has received from consumers, says the worlds largest online retailer CFO Brian Olsavsky ","Amazon likely to ramp up investments in India, despite drag on profits"
eokVM94g0SpP1h72Lt1VFO,"Sat, Feb 04 2017. 12 41 AM",Titan MD Bhaskar Bhat on integrating brands such as CaratLane  and why he expects the jewellery business to get a boost from demonetisation,"Titan will maintain current growth rate over two years, says Bhaskar Bhat"
DBVRbvmx2k9tRiQ01r8jRM,"Sat, Feb 04 2017. 12 08 AM",Strides Shasun  says it will retain its consumer-facing formulations business in regulated and emerging markets and carve out its B2B operations,Strides Shasun plans to de-merge API business into separate listed entity
Lj4zxwowtMTZ4vPEBSVl8M,"Fri, Feb 03 2017. 11 37 PM","Delhi high court ordered the appointment of a liquidator in a plea by Astro Entertainment, which asked for a court-appointed liquidator to wind up the now defunct AskMe.com",Delhi high court appoints provisional liquidator for AskMe.com
jHktyYNJiCa2W9jLsH8W2N,"Fri, Feb 03 2017. 10 17 PM","United Breweries Holdings sought a one-month extension for filing its December quarter results, citing recent CBI raids on its Bengaluru office",UB Holdings seeks extension to file Q3 results
RmcFHJqJtjdKVndrLF4LjL,"Fri, Feb 03 2017. 02 46 PM",Shaktikanta Das says RBI will soon take a call on lifting the weekly cash withdrawal limit from savings bank accounts,Remonetisation exercise nearly complete: Shaktikanta Das
NVBQTnefQ6DoKeJ0rO0iyI,"Tue, Jan 31 2017. 08 37 PM",Economic Survey 2017 points to failure rate of interoperable online transactions between different banks was 56%almost double that of the failure rate of intra-bank transactions,Big banks may be declining digital transactions involving smaller banks: Economic Survey
hnxkgysQtCI6JR71e9KVOL,"Fri, Feb 03 2017. 02 48 PM",Reserve Bank of India will hold its next monetary policy meet on 8 February,RBI may go for 25 bps repo rate cut next week: Deutsche Bank
JpoEIClEkdPaEZ7Cz9CSlK,"Fri, Feb 03 2017. 08 10 AM",Foreign brokerages cheer that the govt adopted a balanced approach in the budget  ,Union Budget 2017: How foreign brokerages view Arun Jaitleys proposals
