date,title,intro,href
"Sep 29, 2016, 10:38 AM IST","Top cues from F&O mart: September series expiry likely in the 8,700-8,850 range",Foreign institutional investors (FIIs) were a net buyers in both equity cash and index futures segments. They bought stocks worth Rs 79 crore.,http://economictimes.indiatimes.com/markets/stocks/news/top-cues-from-fo-mart-september-series-expiry-likely-in-the-8700-8850-range/articleshow/54577942.cms
"Sep 29, 2016, 09:44 AM IST","Rakesh Jhunjhunwala bade for Rs 750 cr ICICI Pru shares, got stocks worth Rs 27 crore only","The Rs 6,000-crore offer was subscribed 10 times, within which the high-networth individual portion, worth about Rs 810 crore, was subscribed 28 times.",http://economictimes.indiatimes.com/markets/stocks/news/rakesh-jhunjhunwala-bade-for-rs-750-cr-icici-pru-shares-got-stocks-worth-rs-27-crore-only/articleshow/54576717.cms
"Sep 30, 2016, 07:42 AM IST",need2know: Five macro triggers that may matter for market today,There is heightened concern in markets that India's military strikes could intensify into a full-blown war prompting foreign investors to pause their investments into the country.,http://economictimes.indiatimes.com/markets/stocks/news/need2know-five-macro-triggers-that-may-matter-for-market-today/articleshow/54596046.cms
"Sep 30, 2016, 07:09 AM IST",Seven important factors that changed your market while you were sleeping,"While bullish bets were squared off amid Thursday's selloff, a sizeable portion of the rolled-over contracts were short positions.",http://economictimes.indiatimes.com/markets/stocks/news/seven-important-factors-that-changed-your-market-while-you-were-sleeping/articleshow/54595725.cms
"Sep 30, 2016, 03:12 AM IST",Wall Street falls sharply on worries about banks,The S&P 500 financial index declined 1.49 per cent after Bloomberg reported that some hedge funds have withdrawn excess cash and positions held at the German lender.,http://economictimes.indiatimes.com/markets/stocks/news/wall-street-falls-sharply-on-worries-about-banks/articleshow/54594419.cms
"Sep 30, 2016, 01:36 AM IST","Army's surgical strike: Fear factor sends stocks, rupee into a steep dive",Traders’ perception of near-term risks in the market increased with the volatility index (VIX) soaring 33% —the highest in a day in 13 months.,http://economictimes.indiatimes.com/markets/stocks/news/armys-surgical-strike-fear-factor-sends-stocks-rupee-into-a-steep-dive/articleshow/54593882.cms
"Sep 29, 2016, 10:32 PM IST",Participation of investors important for price discovery: Sebi,The Securities and Exchange Board of India also said that investors will get attracted to the market only when they feel the platforms are free from manipulation.,http://economictimes.indiatimes.com/markets/stocks/news/participation-of-investors-important-for-price-discovery-sebi/articleshow/54591045.cms
"Sep 29, 2016, 08:40 PM IST",Stock market sell-off fails to dent demand for Hindustan Copper’s Offer For Sale,"The stock fell almost 5% to end at Rs. 62.10 on Thursday. About 3.14 lakh shares changed hands on the BSE against the two-week daily average volume of 77,000 shares.",http://economictimes.indiatimes.com/markets/stocks/news/stock-market-sell-off-fails-to-dent-demand-for-hindustan-coppers-offer-for-sale/articleshow/54588009.cms
"Sep 29, 2016, 08:33 PM IST",Citi Report on Surgical Strike & impact on markets,Disinflation and slow growth calls for lower yields in India. But the burden of positioning and likelihood of high volatility may cause a further sell-off in rates.,http://economictimes.indiatimes.com/markets/stocks/news/citi-report-on-surgical-strike-impact-on-markets/articleshow/54587838.cms
"Oct 3, 2016, 08:56 AM IST",Consumption boost to support GDP: Crisil,"Private consumption will grow 8.3% in the current fiscal, 90 basis points higher than the 7.4% recorded last year as people, especially in rural India.",http://economictimes.indiatimes.com/markets/stocks/news/consumption-boost-to-support-gdp-crisil/articleshow/54649513.cms
"Oct 3, 2016, 08:36 AM IST","'BUY' or 'SELL' ideas by experts for morning trade on Monday, 03 October 2016",ET Now spoke to various experts and here's what they had recommended for today's trade.,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-monday-03-october-2016/articleshow/54649154.cms
"Oct 3, 2016, 08:32 AM IST",Learn with ETMarkets: What Options launch means for commodity exchanges,Exchanges will be allowed to initially launch two Options — one agri and one non-agri — which should see the light of day in the next few months.,http://economictimes.indiatimes.com/markets/stocks/news/learn-with-etmarkets-what-options-launch-means-for-commodity-exchanges/articleshow/54649107.cms
"Oct 3, 2016, 08:28 AM IST",LIVE UPDATE: Look who's moving my market today,"Telecom stocks will be in focus with the biggest auction of spectrum till date under way, while stks of select upstream oil companies may come under pressure.",http://economictimes.indiatimes.comhttp://economictimes.indiatimes.com/track-sensex-nifty-live-look-who-is-moving-my-market/liveblog/54649037.cms
"Oct 3, 2016, 08:28 AM IST","Asian stocks mostly higher, China and Korea markets closed","Japan's benchmark Nikkei 225 gained 1.2 per cent to 16,640.23 in morning trading. Australia's S&P/ASX 200 rose 0.8 per cent to 5,481.70",http://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-mostly-higher-china-and-korea-markets-closed/articleshow/54649034.cms
"Oct 3, 2016, 08:18 AM IST","Dalal Street glued to India-Pakistan events, RBI policy action","“Markets could react negatively if there is no rate cut on Tuesday,” said Dharmesh Kant, head-retail research at Motilal Oswal Financial Services.",http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms
"Oct 3, 2016, 08:07 AM IST","With SIPs, retail investors tap into the equity payback","In the past year, SIP accounts have increased by 27.1 lakh compared with 75 lakh such accounts registered over the past 30 years, according to the AMFI.",http://economictimes.indiatimes.com/markets/stocks/news/with-sips-retail-investors-tap-into-the-equity-payback/articleshow/54648757.cms
"Oct 3, 2016, 07:58 AM IST","Stock queries: Sell USL on rise, hold Inox Wind with Rs 230 as target","Hold MRF (long-term target of Rs 65,000) and JB Chemical (target of around Rs 420) and buy aggressively Karur Vysya Bank, says G Chokkalingam.",http://economictimes.indiatimes.com/markets/stocks/news/stock-queries-sell-usl-on-rise-hold-inox-wind-with-rs-230-as-target/articleshow/54648637.cms
"Oct 3, 2016, 07:50 AM IST","Time to tread with caution: Nifty50 has immediate resistance at 8,750, 8,820",A change in overall market trend and upcoming volatile events like RBI policy and US Presidential elections which might give a sudden spike to the market.,http://economictimes.indiatimes.com/markets/stocks/news/time-to-tread-with-caution-nifty50-has-immediate-resistance-at-8750-8820/articleshow/54648517.cms
"Oct 3, 2016, 07:49 AM IST","Fifteen stocks in focus on Monday, 3 October 2016",The Indian market is expected to open higher. Here is a list of top fifteen stocks that are likely to be in focus today.,http://economictimes.indiatimes.com/markets/stocks/news/fifteen-stocks-in-focus-on-monday-3-october-2016/articleshow/54648509.cms
"Sep 30, 2016, 11:15 AM IST",NHPC surges 5% as firm signs purchase pact with Rajasthan government,The power project will take place in Jaisalmer and the Rajasthan government will purchase the power generated from the project.,http://economictimes.indiatimes.com/markets/stocks/news/nhpc-surges-5-as-firm-signs-purchase-pact-with-rajasthan-government/articleshow/54599114.cms
"Sep 30, 2016, 10:57 AM IST",Alkem Labs nosedives 8% on receiving 13 observations from USFDA,Form 483 is issued to a company when the investigator observes violations of the Food Drug and Cosmetic Act and related Acts.,http://economictimes.indiatimes.com/markets/stocks/news/alkem-labs-nosedives-8-on-receiving-13-observations-from-usfda/articleshow/54598841.cms
"Sep 30, 2016, 10:49 AM IST","When LOC gunshots made you panic, FPIs, DIIs went on stock-buying spree","Data available with BSE showed institutional investors bought equities in excess of Rs 5,000 crore on a single day, executing a ‘buy-on-dips’ strategy.",http://economictimes.indiatimes.com/markets/stocks/news/whenlocgunshots-made-you-panicfpisdiiswent-on-stock-buying-spree/articleshow/54596727.cms
"Sep 30, 2016, 10:39 AM IST","Sintex spurts 7% as board decides to demerge biz, list Sintex Plastics Technology","The transaction is expected to unlock value of shareholders by separating various businesses in different entities, the company said.",http://economictimes.indiatimes.com/markets/stocks/news/sintex-spurts-7-as-board-decides-to-demerge-biz-list-sintex-plastics-technology/articleshow/54598484.cms
"Sep 30, 2016, 10:38 AM IST",Muthoot Fincorp targets 27% growth in gold loan business,The NBFC hopes to grow riding on rally in gold prices this year and exit of players from the gold loan business following RBI regulations.,http://economictimes.indiatimes.com/markets/stocks/news/muthoot-fincorp-targets-27-growth-in-gold-loan-business/articleshow/54598465.cms
"Sep 30, 2016, 10:09 AM IST","5 cues from F&O mart: Fresh Call writing at 8,600, 8,800 to cap upside ","Total Put open interest of 34.55 lakh contracts stood at strike price 8,500, which will act as a crucial base for the market in the October series.",http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-fresh-call-writing-at-8600-8800-to-cap-upside/articleshow/54598055.cms
"Sep 30, 2016, 09:55 AM IST","Sensex recoups losses; Nifty50 reclaims 8,600",Fears of further escalation in India-Pakistan hostilities after India’s surgical strike in Pak-occupied Kashmir may also keep the sentiment low.,http://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty50-start-on-a-flat-note-ipca-labs-hcc-shed-4-each/articleshow/54596051.cms
"Sep 30, 2016, 08:51 AM IST","Caught in Indo-Pak crossfire, insurers consider raising hull, marine premium","The rate of both marine and hull are reinsurance market-driven, while war risk is generally associated with cross-border operations, foreign travel and personal accidents.",http://economictimes.indiatimes.com/markets/stocks/news/caught-in-indo-pak-crossfire-insurers-consider-raising-hull-marine-premium/articleshow/54596976.cms
"Sep 30, 2016, 08:28 AM IST","'BUY' or 'SELL' ideas by experts for morning trade on Friday, 30 September 2016",ET Now spoke to various experts and here's what they had recommended for today's trade.,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-friday-30-september-2016/articleshow/54596581.cms
