,company,href
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/need2know-five-macro-triggers-that-may-matter-for-market-today/articleshow/54596046.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/armys-surgical-strike-fear-factor-sends-stocks-rupee-into-a-steep-dive/articleshow/54593882.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/consumption-boost-to-support-gdp-crisil/articleshow/54649513.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-monday-03-october-2016/articleshow/54649154.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/with-sips-retail-investors-tap-into-the-equity-payback/articleshow/54648757.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/time-to-tread-with-caution-nifty50-has-immediate-resistance-at-8750-8820/articleshow/54648517.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/time-to-tread-with-caution-nifty50-has-immediate-resistance-at-8750-8820/articleshow/54648517.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/fifteen-stocks-in-focus-on-monday-3-october-2016/articleshow/54648509.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sintex-spurts-7-as-board-decides-to-demerge-biz-list-sintex-plastics-technology/articleshow/54598484.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/muthoot-fincorp-targets-27-growth-in-gold-loan-business/articleshow/54598465.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-fresh-call-writing-at-8600-8800-to-cap-upside/articleshow/54598055.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty50-start-on-a-flat-note-ipca-labs-hcc-shed-4-each/articleshow/54596051.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/caught-in-indo-pak-crossfire-insurers-consider-raising-hull-marine-premium/articleshow/54596976.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-friday-30-september-2016/articleshow/54596581.cms
0,HDFCB,http://economictimes.indiatimes.com/markets/stocks/news/top-9-companies-take-rs-57065-crore-hit-in-market-valuation-tcs-bucks-the-trend/articleshow/54640333.cms
0,TCS,http://economictimes.indiatimes.com/markets/stocks/news/top-9-companies-take-rs-57065-crore-hit-in-market-valuation-tcs-bucks-the-trend/articleshow/54640333.cms
0,HDFC,http://economictimes.indiatimes.com/markets/stocks/news/top-9-companies-take-rs-57065-crore-hit-in-market-valuation-tcs-bucks-the-trend/articleshow/54640333.cms
0,ICICI,http://economictimes.indiatimes.com/markets/stocks/news/sebi-bets-big-on-nism-to-train-market-regulatory-officials/articleshow/54638844.cms
0,KMB,http://economictimes.indiatimes.com/markets/stocks/news/sebi-bets-big-on-nism-to-train-market-regulatory-officials/articleshow/54638844.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sebi-bets-big-on-nism-to-train-market-regulatory-officials/articleshow/54638844.cms
0,MAR,http://economictimes.indiatimes.com/markets/stocks/news/maruti-posts-record-sales-in-sept-as-festive-season-begins/articleshow/54629493.cms
0,MM,http://economictimes.indiatimes.com/markets/stocks/news/maruti-posts-record-sales-in-sept-as-festive-season-begins/articleshow/54629493.cms
0,MM,http://economictimes.indiatimes.com/markets/stocks/news/maruti-posts-record-sales-in-sept-as-festive-season-begins/articleshow/54629493.cms
0,REL,http://economictimes.indiatimes.com/markets/stocks/news/muthoot-finance-to-raise-rs-500-crore-via-ncds-in-november/articleshow/54623761.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/muthoot-finance-to-raise-rs-500-crore-via-ncds-in-november/articleshow/54623761.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/no-firework-expected-in-market-before-diwali-wait-on-the-sidelines/articleshow/54623142.cms
0,MM,http://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-set-to-acquire-bss-microfin/articleshow/54622728.cms
0,KMB,http://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-set-to-acquire-bss-microfin/articleshow/54622728.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-set-to-acquire-bss-microfin/articleshow/54622728.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-set-to-acquire-bss-microfin/articleshow/54622728.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/eros-international-drops-over-2-after-deal-with-uae-based-phars-films/articleshow/54578520.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-dives-465-points-on-loc-turmoil-nifty-below-8650/articleshow/54584190.cms
0,REL,http://economictimes.indiatimes.com/markets/stocks/news/fund-mop-up-via-ipo-at-9-year-high-of-rs-17283-crore-in-h1-fy17/articleshow/54583835.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/chinas-big-ball-of-money-isnt-going-anywhere-near-stocks/articleshow/54583437.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/as-tension-on-pakistan-border-sends-market-crashing-veterans-say-go-buy-stocks/articleshow/54582426.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/jaiprakash-associates-shares-gain-over-5/articleshow/54581413.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/pakistan-stock-markets-too-take-a-hard-knock-kse100-index-tanks-500-points/articleshow/54581257.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/nsel-pmla-case-ed-attaches-rs-1170-crore-assets-of-ftil/articleshow/54610892.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-spinning-top-on-charts-some-hope-for-bulls/articleshow/54605657.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-ends-flat-after-200-points-swing-nifty-tops-8600/articleshow/54604931.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/nikkei-tumbles-on-deutsche-fears-financials-down/articleshow/54603727.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/china-stocks-see-small-gains-on-signs-domestic-export-demand-picking-up/articleshow/54603584.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-reclaims-mount-28k-top-five-factors-that-may-be-fuelling-this-rally/articleshow/54651629.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-reclaims-mount-28k-top-five-factors-that-may-be-fuelling-this-rally/articleshow/54651629.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/why-are-it-stocks-down-on-a-day-when-sensex-is-up-350-points/articleshow/54654076.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/surpassing-most-em-peers-heres-how-indian-economic-growth-can-survive-pakistan-friction/articleshow/54653704.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/will-urjit-patel-continue-with-or-depart-from-rajans-approach/articleshow/54653344.cms
