href,intro,title,date
http://www.livemint.com/Money/wAqHakvfhYcwpMczjB2fVO/Motherson-Sumi-does-well-amid-adversities-but-stock-expensi.html,"The company’s strong order book has kept the stock ticking and it trades at an expensive 17 times the estimated earnings per share of fiscal year 2017
","Motherson Sumi does well amid adversities, but stock expensive","Tue, Feb 23 2016. 12 42 AM"
http://www.livemint.com/Money/Y69uFBnOO9vWwyoHJfFQtI/Will-rally-in-sugar-shares-leave-a-bitter-aftertaste.html,"Shares of sugar mills are reaching new highs every other day with no specific news supporting the gains. Are investors riding their luck too far?
",Will rally in sugar shares leave a bitter aftertaste?,"Tue, Mar 08 2016. 12 25 AM"
http://www.livemint.com/Money/2zI6ULfR4l32tBvoz13ndM/Castrol-India-awaits-volume-recovery.html,"A faster rate of decline in total operating expenses meant Castrol was able to clock an operating profit margin of 27%, higher year-on-year but lower sequentially
",Castrol India awaits volume recovery,"Sun, Feb 28 2016. 11 00 PM"
http://www.livemint.com/Money/2pfYg9dpuy859sgse4uvTN/A-budget-for-the-banking-sector.html,"Overall, estimated capital requirement for the banking system is between Rs2.5 trillion and Rs3 trillion over the next four years compared with the government’s promise of Rs70,000 crore
",A budget for the banking sector,"Fri, Feb 26 2016. 12 35 AM"
http://www.livemint.com/Money/punG030DVd4NEbcpHGzCIJ/Another-pushback-to-earnings-recovery.html,"After a poor December quarter, earnings downgrades continue. The main culprits are public sector banks and commodity producers, but there are enough of them to pull down Nifty 50 estimates
",Another pushback to earnings recovery,"Fri, Feb 26 2016. 12 22 AM"
http://www.livemint.com/Money/4K3Wxb6Muf9pmFztI6WoqM/Indian-Railways-faithbased-budgeting.html,"The highlight of railways budget is the scaling up of capital expenditure to Rs1.2 trillion for the next fiscal year, which is commendable, but believing the big numbers requires a leap of faith
",Indian Railways: faith-based budgeting,"Fri, Feb 26 2016. 07 47 AM"
http://www.livemint.com/Opinion/vfWEzeZWt6bqc8NbjKudoJ/Amazons-Jeff-Bezos-has-the-best-hand-in-Indias-ecommerce.html,"Indian e-commerce is a three-way poker game between Jeff Bezos, Lee Fixel and Masayoshi Son
",Amazon’s Jeff Bezos has the best hand in India’s e-commerce game,"Thu, Feb 25 2016. 04 50 PM"
http://www.livemint.com/Money/CxQqNbBfv03REevFSeWnOO/Fertilizer-subsidy-will-the-govt-bite-the-bullet.html,"The primary issue afflicting the industry’s growth is urea price control
",Fertilizer subsidy: will the govt bite the bullet?,"Tue, Feb 23 2016. 12 25 AM"
http://www.livemint.com/Money/DKC8KFkhwmynU6WgdbZIXP/Volume-growth-recovers-at-ACC-but-questions-remain.html,"There are doubts whether recovery will be sustained because of its high capacity utilization and legacy factors
","Volume growth recovers at ACC, but questions remain","Thu, Feb 11 2016. 12 39 AM"
http://www.livemint.com/Money/TOaV2AA7rLEW2O5JR6mVFJ/GAIL-stock-good-results-priced-in.html,"Investors will require more than one good quarter from GAIL to alter their view on the stock
",GAIL stock: good results priced in,"Thu, Feb 11 2016. 12 28 AM"
http://www.livemint.com/Opinion/csS5OxgT9SiOG46Go17jIO/The-road-to-redemption-for-Alang-begins-with-Maersk-Line.html,"The announcement by the poster boy of container shipping to use its leverage to create responsible ship recycling options is music to ears of Alang ship breakers 
",The road to redemption for Alang begins with Maersk Line,"Fri, Feb 19 2016. 01 09 AM"
http://www.livemint.com/Money/HBF3Apnsz3x5JRQAwjIMyO/Dr-Reddys-board-approves-share-buyback-for-Rs15694-crore.html,"Dr Reddy’s share buyback price of Rs3,500 apiece represents an 18% premium to their closing price on Wednesday
","Dr Reddy’s board approves share buyback for Rs3,500 apiece","Wed, Feb 17 2016. 04 47 PM"
http://www.livemint.com/Money/lmag0kZP0XSPYuKpXHkehO/Sagging-export-volumes-amid-the-Make-in-India-dream.html,"With overseas demand in the dumps, the latest trade data makes for dreary reading
",Sagging export volumes amid the Make in India dream,"Wed, Feb 17 2016. 12 18 AM"
http://www.livemint.com/Money/hqLdPyazZIzwFKA1sMbJsJ/Decent-show-by-MM-despite-farm-sector-odds.html,"Fuelling growth were the nine new launches in the auto segment through fiscal year 2016 that pushed up sales by about 15% from a year ago
",Decent show by M&M despite farm sector odds,"Wed, Feb 17 2016. 12 31 AM"
http://www.livemint.com/Money/z33AyERe5Zfe7tCWK8VWuN/Petronet-LNG-lower-volume-but-worst-could-be-behind-it.html,"News flow on pipeline issues at the Kochi Terminal is something investors will have to follow closely
","Petronet LNG: lower volume, but worst could be behind it","Wed, Feb 17 2016. 12 08 AM"
http://www.livemint.com/Money/pAg3rv8FrfTJHSvaRzCCbK/Nestl-India-a-recovery-is-no-twominute-job.html,"Nestlé is making a slow climb back to its position before the Maggi recall episode, but it’s proving to be an uphill task
",Nestlé India: a recovery is no two-minute job,"Wed, Feb 17 2016. 12 20 AM"
http://www.livemint.com/Money/Bgqo9JlT0t0oxaVmN3XEmK/Telecom--Data-a-drag-rather-than-a-moneyspinner.html,"Price realizations in the data segment fell by as high as 17% year-on-year
",Telecom | Data a drag rather than a money-spinner,"Fri, Feb 26 2016. 12 46 AM"
http://www.livemint.com/Money/L54WThSSL3d0YRAnsAexrJ/Will-Ashok-Leylands-valuation-improve-with-budget-sops.html,"The Street seems to be betting that the government may announce incentives for scrapping old trucks. Will this trigger a rally in the Ashok Leyland stock?
",Will Ashok Leyland’s valuation improve with budget sops?,"Thu, Feb 25 2016. 12 31 AM"
http://www.livemint.com/Money/xgaUWQC2pl889DJNqDp86J/Budget-jitters-take-toll-on-ITC-stock.html,"The ITC share has a resigned air about it as the budget day nears, as investors fear cigarettes may be hit by another round of excise duty hikes
",Budget jitters take toll on ITC stock,"Wed, Feb 24 2016. 06 45 PM"
http://www.livemint.com/Money/kq8MOQxOpTJfX2i07bFSUP/Rural-demand-the-skies-gave-nothing-now-for-the-budget.html,"Expectations are high that the budget will have good news for rural folk, who have been crushed under the weight of crop failures and falling prices of farm produce
","Rural demand: the skies gave nothing, now for the budget","Tue, Feb 23 2016. 12 54 AM"
http://www.livemint.com/Money/wq3kUWEgxf4EU3id9jTdSO/Jindal-Steel-and-Power-default-lines.html,"Jindal Steel and Power equity investors appear unperturbed by the company’s debt getting a default rating, if the share price is a reliable indicator
",The debt troubles of Jindal Steel and Power,"Fri, Mar 11 2016. 12 47 AM"
http://www.livemint.com/Money/OtBsKD5ZpPBcVmeUXksTsM/Hydrocarbon-policy-whats-in-it-for-investors.html,"The government announced a slew of measures in the hydrocarbon sector on Thursday that are expected to have a positive impact on the Indian energy sector in the long run
",Hydrocarbon policy: what’s in it for investors?,"Fri, Mar 11 2016. 12 36 AM"
http://www.livemint.com/Opinion/TykCW4Pv7yfOmzCSfiBoXJ/Changing-gears-at-Indias-startups.html,"The Morgan Stanley markdown is the strongest manifestation yet of the correction that is currently underway
",Changing gears at India’s start-ups,"Fri, Mar 11 2016. 01 14 AM"
http://www.livemint.com/Opinion/AousNor4SxMDz4nWtvpdwI/Vijay-Mallya-you-cant-have-your-cake-and-eat-it-too.html,"Definitive action against Vijay Mallya will prove whether or not we are failed once again by the political class
","Vijay Mallya, you can’t have your cake and eat it too","Thu, Mar 10 2016. 04 39 PM"
http://www.livemint.com/Money/dBXhGuq3pviJQOvAVcrQdN/Cement-prices-up-but-not-away.html,"Cement prices in northern India have reversed after staying down for long. This does not appear to be an isolated instance but is not yet a widespread trend
",Cement prices: Up but not away,"Thu, Mar 10 2016. 12 43 AM"
http://www.livemint.com/Money/1RN78VE5YMO6lsV8OWlLjM/Concors-offer-for-sale-is-one-for-the-long-haul.html,"Volumes in its existing business lines need to recover. Retail investors must keep this in mind as the business climate may keep meaningful upsides at bay in the near term
",Container Corp.’s offer for sale is one for the long haul,"Thu, Mar 10 2016. 12 25 AM"
http://www.livemint.com/Money/1NzTKdPgwV9gWnT6L6vqJN/Why-Mindtrees-exaggerated-correction-makes-sense.html,"The company’s valuations have also been unusually high for a long time, and so the correction is welcome
",Why Mindtree’s exaggerated correction makes sense,"Thu, Mar 10 2016. 12 36 AM"
http://www.livemint.com/Money/WJndwTONuQ6zWwhFEUB3wJ/Why-the-iron-ore-rally-may-not-have-legs-of-steel.html,"Here are five reasons why the case for a sustained increase in iron ore prices does not seem convincing yet:
",Why the iron ore rally may not have legs of steel,"Wed, Mar 09 2016. 12 57 AM"
http://www.livemint.com/Money/s4FjeYqFqUy7fqTCE6cAtI/Va-Tech-Wabag-profitability-should-measure-up-to-order-inflo.html,"Order wins and backlog haven’t yielded much benefit to investors in recent times
",Va Tech Wabag profitability should measure up to order inflows,"Wed, Mar 09 2016. 02 42 AM"
