,company,href
0,OTHERS,http://www.livemint.com/Money/Y69uFBnOO9vWwyoHJfFQtI/Will-rally-in-sugar-shares-leave-a-bitter-aftertaste.html
0,REL,http://www.livemint.com/Money/2pfYg9dpuy859sgse4uvTN/A-budget-for-the-banking-sector.html
0,OTHERS,http://www.livemint.com/Money/2pfYg9dpuy859sgse4uvTN/A-budget-for-the-banking-sector.html
0,OTHERS,http://www.livemint.com/Money/2pfYg9dpuy859sgse4uvTN/A-budget-for-the-banking-sector.html
0,OTHERS,http://www.livemint.com/Money/punG030DVd4NEbcpHGzCIJ/Another-pushback-to-earnings-recovery.html
0,REL,http://www.livemint.com/Money/4K3Wxb6Muf9pmFztI6WoqM/Indian-Railways-faithbased-budgeting.html
0,OTHERS,http://www.livemint.com/Money/CxQqNbBfv03REevFSeWnOO/Fertilizer-subsidy-will-the-govt-bite-the-bullet.html
0,GAIL,http://www.livemint.com/Money/TOaV2AA7rLEW2O5JR6mVFJ/GAIL-stock-good-results-priced-in.html
0,MM,http://www.livemint.com/Money/hqLdPyazZIzwFKA1sMbJsJ/Decent-show-by-MM-despite-farm-sector-odds.html
0,OTHERS,http://www.livemint.com/Money/z33AyERe5Zfe7tCWK8VWuN/Petronet-LNG-lower-volume-but-worst-could-be-behind-it.html
0,OTHERS,http://www.livemint.com/Money/xgaUWQC2pl889DJNqDp86J/Budget-jitters-take-toll-on-ITC-stock.html
0,OTHERS,http://www.livemint.com/Money/OtBsKD5ZpPBcVmeUXksTsM/Hydrocarbon-policy-whats-in-it-for-investors.html
0,OTHERS,http://www.livemint.com/Money/1RN78VE5YMO6lsV8OWlLjM/Concors-offer-for-sale-is-one-for-the-long-haul.html
0,YB,http://www.livemint.com/Companies/azNuZd16Oj5CN8dXgEhtjO/Temasek-cut-stake-in-Alibaba-in-third-quarter-filing-shows.html
0,OTHERS,http://www.livemint.com/Companies/azNuZd16Oj5CN8dXgEhtjO/Temasek-cut-stake-in-Alibaba-in-third-quarter-filing-shows.html
0,OTHERS,http://www.livemint.com/Companies/2jwVaCF0ULAxUX0UWppRnL/Why-smaller-companies-have-bigger-debts.html
0,OTHERS,http://www.livemint.com/Companies/0WvjNUVdKA0wsRBs0dv1FK/Govt-tells-RBI-to-examine-foreign-investments-in-medical-dev.html
0,OTHERS,http://www.livemint.com/Companies/0WvjNUVdKA0wsRBs0dv1FK/Govt-tells-RBI-to-examine-foreign-investments-in-medical-dev.html
0,OTHERS,http://www.livemint.com/Companies/0WvjNUVdKA0wsRBs0dv1FK/Govt-tells-RBI-to-examine-foreign-investments-in-medical-dev.html
0,ONGC,http://www.livemint.com/Industry/H2CC5aRfpCEwz6c1KfqXPJ/KG-basin-issue-RIL-serves-arbitration-notice-to-government.html
0,REL,http://www.livemint.com/Industry/H2CC5aRfpCEwz6c1KfqXPJ/KG-basin-issue-RIL-serves-arbitration-notice-to-government.html
0,OTHERS,http://www.livemint.com/Industry/H2CC5aRfpCEwz6c1KfqXPJ/KG-basin-issue-RIL-serves-arbitration-notice-to-government.html
0,OTHERS,http://www.livemint.com/Industry/H2CC5aRfpCEwz6c1KfqXPJ/KG-basin-issue-RIL-serves-arbitration-notice-to-government.html
0,OTHERS,http://www.livemint.com/Industry/H2CC5aRfpCEwz6c1KfqXPJ/KG-basin-issue-RIL-serves-arbitration-notice-to-government.html
0,GAIL,http://www.livemint.com/Industry/gSaLDo2UKvIxxvBNJW2J1H/Gail-scraps-7billion-LNG-tender-after-bidder-disagreed-to.html
0,OTHERS,http://www.livemint.com/Industry/gSaLDo2UKvIxxvBNJW2J1H/Gail-scraps-7billion-LNG-tender-after-bidder-disagreed-to.html
0,REL,http://www.livemint.com/Companies/gmA5d3FNaiTZwBA0jK8bRP/Reliance-Power-net-slips-6-to-Rs272-crore-in-September-quar.html
0,ONGC,http://www.livemint.com/Politics/g01j1E2emM0roJqny9e7cL/Oil-minister-Dharmendra-Pradhan-probes-lapses-of-officials-d.html
0,REL,http://www.livemint.com/Politics/g01j1E2emM0roJqny9e7cL/Oil-minister-Dharmendra-Pradhan-probes-lapses-of-officials-d.html
0,REL,http://www.livemint.com/Politics/g01j1E2emM0roJqny9e7cL/Oil-minister-Dharmendra-Pradhan-probes-lapses-of-officials-d.html
0,OTHERS,http://www.livemint.com/Politics/g01j1E2emM0roJqny9e7cL/Oil-minister-Dharmendra-Pradhan-probes-lapses-of-officials-d.html
0,OTHERS,http://www.livemint.com/Companies/coPcc4KKMyYKPYYwlo7ukJ/In-firms-PCs-and-smartphones-coexist-in-a-multidevice-worl.html
