score,body,date,id,intro,tag,time,title
0.48,"Two sets of findings, related to societal trust levels, in a report released last week at the World Economic Forums annual meeting in Davos, should be a cause of grave concern to all of us. Part of a study released by communications group Edelman, the survey of more than 33,000 people in 28 countries including India, recorded the largest-ever drop of trust in business, government, the media, and non-government organisations (NGOs).
				   
				Corporate chief executive officers (CEOs), whose credibility level dropped in each of the countries surveyed, were aggressively targeted with only 37% of people saying they trusted them.The 12-point drop from the previous year is the all-time low since the survey began in 2001. This isnt the first time the corporate sector has been reminded of declining peoples trust. Last January, Young & Rubicam BrandAsset Valuator revealed that consumers trust in well-known brands continues to fall.ALSO READ | What global CEOs are watching for, according to a PwC surveyStrangely, you would think that CEOs reputation for trust would have taken a hit from the work of the media. But that institution didnt fare too well either with 43% of the respondents expressing trust in the press, down from 48% the year before. So if peoples falling trust in company executives isnt driven by the reports in traditional media, where is the angst coming from? Perhaps theres a third force now that might be responsible for generating the ire and thats the social media, the new watchdog for corporate wrongdoing.Edelman CEO Richard Edelman, speaking at the WE, linked this to the sky-high compensation levels of top CEOs as well as the fact that employees were disappointed their leaders were not helping them deal with automation and the changing business environment. These changes have led to a rash of lay-offs in recent times with companies as diverse as Oracle Corp., Wal-Mart Stores Inc. and Microsoft Corp. trimming their work forces.ALSO READ | Of founders and CEOsIn India, close on the heels of the controversy last year when several well-funded start-ups rolled back offers made to fresh graduates from engineering schools, comes the news this year of large scale sackings. Just this week, Girnar Software Pvt. Ltd, which runs a series of auto portals including CarDekho and is funded by such heavyweights as CapitalG (formerly Google Capital), Sequoia Capital, Hillhouse Capital and Ratan Tata, announced that it was axing 136 people.Paradoxically, for all the efforts CEOs and top leaders make to build their image, it is the companys rank and file that is viewed by the public as more trustworthy.Indeed, twice as many respondents would have employees rather than CEOs communicate financial earnings and operational performance.Why is trust important? Business analysts have frequently proved that there is a direct correlation between growth and trust.ALSO READ | Optimism reigns in India as CEOs, consumers look beyond ChinaAmerican behavioural economist and psychiatrist Richard L. Peterson and sports consultant Frank Murtha noted in 2008 after the financial crisis: Trust is the oil in the engine of capitalism, without it, the engine seizes up. Confidence is like the gasoline, without it the machine wont move.Part of the reason for the increasing trust deficit is of course the overall culture of lower deference towards authority figures and institutions. But that isnt all of it. In 2016, for instance, Volkswagen AG CEO Martin Winterkorns resigned following the emissions scandal, Fox News CEO Roger Ailes lost his job following a sexual harassment charge, Mylan CEO Heather Bresch became a public enemy when she trebled prices of life-saving injection EpiPen, and Wells Fargo CEO John Stumpf came under fire for refusing to take personal responsibility when his bank was caught creating two million fake accounts. Closer home, Vijay Mallya took employees, shareholders and bankers for a right royal ride before flying to the UK as creditors closed in on him.The resulting trust deficit has had several disastrous consequences. Corporate loyalty is fast going the way of the dinosaur. As employees feel free to change jobs at will, this has led to mounting costs of hiring and training besides a struggle to build team spirit and group dynamics. Externally, there is a lower threshold level of tolerance for any slippage in corporate performance. One quarter of declining numbers and stakeholders start demanding changes either in terms of management or worse still, strategy.Corporate trust deficit is a two-way street. It indicates that employees, customers, and company watchers have problems believing what its top executives say. But equally it also indicates that the company itself is in some kind of trouble.Sundeep Khanna is a consulting editor at Mint and oversees the newsrooms corporate coverage. The Corporate Outsider will look at current issues and trends in the corporate sector every week.Click here to read more from The Corporate Outsider.",2017-01-24,0229PSUGl9BxwsW7urHATP,The resulting trust deficit has had several disastrous consequences ,company,12:47,The consequences of declining trust in CEOs
0.02,"Pune: The 57-year-old boss of Tech Mahindra, C.P. Gurnani, says that Indian technology outsourcing companies have always transformed themselves in the past and that it will be wrong to write off the countrys $150-billion outsourcing industry even as new technologies disrupt the landscape. In an interview in Pune last week, Gurnani shared the bets Tech Mahindra is making and why he remains confident that the company will be able to remain relevant even as technology fundamentally changes the way companies across industries do business. Edited excerpts:
Analysts and commentators have started penning obituaries for the Indian IT outsourcing industry. From your perch, what is the future of Indian IT and Tech Mahindra? It will be wrong to write us off. I see the present as exciting times. Remember, Indian IT has seen changes all throughout its life. It all started with Father Kohli (F.C. Kohli, the first CEO of Tata Consultancy Services Ltd). The model then was that companies said, we have consultants and we will give them to you. Then the Y2K moment happened, which was like an inflection point.  In all these decades, the industry has grown. So, even now, the focus for Tech Mahindra, and I believe other Indian heritage IT firms, is that you need to make sure we remain relevant. Technology is changing industries around us. My priority No. 1 (is) to make ourselves remain relevant.ALSO READ | Tech Mahindra bets on DAVID strategy to fuel growthSo, how are you making Tech Mahindra stay relevant? Can you also share what are, say, the three big bets for Tech Mahindra? I can tell you not three but five. First is cybersecurity. Second is imaging as a service or say, a service where we use automation platform with radiologist, and run imaging as a service. No. 3 is blockchain. No. 4 is that we want to be the largest system integrator in the Internet of things (IoT). No. 5 is network services, as the world moves towards last-mile connectivity, and focus on software-defined networks (increases).All IT firms are talking about these newer tech. When can we see Tech Mahindra beginning to disclose the business it generates from each of these five big bets?We should be able to do this soon. The way we look at it is that we will take 12-16 months to incubate them. So, out of the five, three will go into production phase. It is possible that not all five will go into production phase. And so, I believe that the three which go into production, it is my duty to report the numbers. I have invested shareholder money and I guess it is the right of the shareholders to know what I have done with their money. So, we should be able to report the revenue or business once it goes into production (phase) after 12-16 months.How different will the Tech Mahindra of 2020 be? Currently, 65% of my business comes from IT while balance comes from engineering services, network services, customer experience, platform and security. Im taking a forward call and saying 50% will come from IT and 50% will come from different platforms by 2020. So, obviously there will be changes.Your thoughts on the internal goal of becoming a $10 billion firm by 2020, and what percentage of revenue will be called digital by then? Will it be more than half of your revenue, as against the 15-7% currently? Will it mean significant revenue from M&A?I cannot comment on the Internal  goals. But on your question of digital revenue, I would say that the way market is moving, getting more than 50% you see is not relevant. Because if I get the topline, I promise you, we will have more than 50% (coming from) digital.One of the things which is often held against Indian heritage IT firms is that they are too conservative. You are talking about blockchain. But if you are serious, then why not launch a service line? Take a more aggressive approach like the one adopted by IBM, which has set up business focused on blockchain technologies.I cannot comment on what approach other companies are taking. Im not betting my company on any one technology. If you look at my company, 65% of business which comes from traditional IT will change to 50% by 2020. So, I will still get 50% from IT. So, Im not betting my whole ranch on this. blockchain for all you know will be $200 million practice, say, for us when Im $8 billion or $9 billion. So, are you saying that there is enough in traditional business?I am not saying this. All I am saying is that my companys focus remains and will be in solving business problems. I will choose the technology. Im not getting married to one technology. And that is the difference between service and product companies. Tech Mahindra is perceived to be lagging behind in digital technologies. It does not have a strong consultancy arm, for instance. You are wrong when you say I dont have a strong consultancy arm. I have about 3,000 consultants. I have probably what is the largest IT telecom services firm out of India being a leader for the last 10 years and I will be the leader for the next 10 years. From the positioning point of view, I have taken a position:  I will be largest IT  firm in the media, communication and entertainment industry. We have launched DAVID, and the core reason to launch this is to make ourselves future-ready.",2016-12-21,05PcYpZOmBeSeBLoMPqETN,Tech Mahindra CEO CP Gurnani on bets his firm is making and why he remains confident that it will remain relevant in the face of disruptive technology,competitor,03:19,"By 2020, 50% of Tech Mahindras business will come from IT: CEO CP Gurnani "
0.45,"Mumbai: Shareholders of Tata Chemicals Ltd have voted out Nusli Wadia as an independent director of the company with 75.67% votes going in favour of a resolution moved by Tata Sons Ltd to remove him at the companys extraordinary general meeting (EGM) on Friday.
				   
				According to a regulatory filing by Tata Chemicals, out of the total of 25.48 crore shares of the company, 14.91 crore shares were voted. Out of this, 11.28 crore were in favour of the resolution to remove him. The company said 3.62 crore votes, accounting for 24.33% of votes polled, were against his removal. Tata Chemicals also said the shareholders have approved a resolution to appoint Bhaskar Bhat as a director of the company with 79.26% of votes going in his favour. It further said the shareholders have also approved the appointment of S. Padmanabhan as director of the company with 89.29% voting in favour of a resolution for his appointment. Also read: Tata-Mistry spat shows independent company directors vulnerable in IndiaTata Chemicals had last month issued notice for an extraordinary general meeting of the companys shareholders to discuss a resolution moved by Tata Sons to remove Cyrus Mistry, ousted chairman of Tata Sons, and Wadia as directors. Mistry resigned from listed Tata firms ahead of EGMs. Wadia, who has been an independent director at Tata Chemicals for 35 years, has already filed a criminal defamation suit against Tata Sons, its interim chairman Ratan Tata and some directors for alleged defamatory and offending contents in a special resolution moved to seek his removal from three Tata group firms. He has denied allegations that he was galvanising independent directors and mobilising opinion, forcing disruptions and issuing statement which is contrary to the interests of the company.",2016-12-24,05fitg1rP4ZTDTrPaXgTiP,Tata Chemicals said 75.67% votes polled in favour of the Tata Sons resolution to remove Nusli Wadia as an independent director at the companys EGM,company,10:43,Tata Chemicals removes Nusli Wadia as director
-0.21,"Ahmedabad: The Hazira Group of companies on Tuesday announced the appointment of Rahul Deep Singh as managing director for Hazira LNG Pvt. Ltd (HLPL) and Hazira Ports Pvt. Ltd (HPPL). 
				   
				HLPL and HPPL are collectively known as Hazira Group of Companies and are partnered by Shell Gas B.V. and Total Gaz Electricité Holdings, France.Nitin Shukla, present managing director and chief executive officer of HLPL and HPPL, will retire after 15 years of service in Hazira Group on 30 September, according to a company statement. Since the commission of Hazira LNG in 2005, the terminal has rapidly expanded from an initial regasification capacity of 2 million tonnes per annum (mtpa) to 3 mtpa in 2008 and then further to 5 mtpa in 2013.I am delighted that Rahul is stepping in to take Hazira companies to the next level. With his global experience and expertise across the full LNG value chain, he takes on the task of driving further growth, albeit in a challenging market context for the oil and gas industry, Shukla said in a statement.",2016-09-27,0QtC4xAu43yYxBHLKq0HNJ,"Nitin Shukla, present MD and CEO of Hazira LNG and Hazira Ports, will retire after 15 years of service on 30 September
",competitor,16:36,"Rahul Deep Singh named MD of Hazira LNG, Hazira Ports"
-0.66,"Surprisingly, in less than a month after the March quarter results were announced, stocks of leading hotel chains in the country have bounced back after years of doing nothing much. Shares of Indian Hotels Co. Ltd (IHCL), represented by the Taj brand, lead the pack and are up 25%. Another stock, TajGVK Hotels and Resorts Ltd, is up 18%, while others like EIH Ltd are inching up too.
				   
				The reason for the sudden appetite for hotel stocks is the better-than-expected recovery in the domestic hospitality business. March quarter revenue grew by around 10%, with operating margin expansion beating analysts estimates.Moreover, the clouds of overcapacity in the luxury hotel segment are gradually receding. Prospects for better room tariffs and occupancy rates (ORs) are thus improving. An analysts presentation by IHCL says that while supply of rooms increased by 3.9% during fiscal year 2016 over the previous year, demand grew by 10.5%.Interestingly, demand growth is being fuelled by higher domestic ORs across cities. If this continues, room rates could gradually move up, leading to growth in average revenue per room.And thats not all. Foreign tourist arrivals (FTA) into the country grew by 10% in the first three months of calendar year 2016. This is commendable, given the damp global economic sentiment and after the single-digit growth seen annually since 2009.All these factors promise a rise in revenue in the medium term, very important for luxury hotel chains that have been languishing with excess capacity. Further, the fact that most hotels have deferred or cancelled any expansion plans is good news, as it will help improve balance sheet health of these firms.Some are trying to trim existing debt too. According to ICICI Securities Ltd, IHCLs debt should come down in the coming years, given its strategy to follow an asset-light business model, where it will undertake more contracts. Its plan to divest low-margin yielding assets, like the one in Boston, will improve cash flows and profitability in the long run. This may be the reason why IHCLs stock outperformed its peers in the last one month. Likewise, TajGVKs stock is rallying after it posted a strong recovery in operating margin in the March quarter on the back of better operating leverage and lower raw material cost.That said, some luxury hotel chains like Hotel Leela Venture Ltd are in dire straits with operating loss, debt burgeoning to 18 times the equity and obvious inability to service interest charges on borrowings. Of course, a discerning Street has consistently punished this stock, which after steadily falling is now hardly on the investors radar.",2016-06-24,0SzjCOcC7hwJ0aAKDgzZyL,"In less than a month after the March quarter results were announced, stocks of leading hotel chains in the country have bounced back after years of doing nothing much
",competitor,01:05,Appetite for hotel stocks improves
-0.69,"Akash Gupta is co-founder and chief technology officer at GreyOrange, a robotics firm founded in 2011 along with his friend and partner Samay Kohli, who is the chief executive officer.  In an interview, Gupta talks about the journey of GreyOrange and its future plans. Edited excerpts:
				   
				Tell us something about your background and how you got interested in robotics.
Samay and I met at BITS Pilani. He is two years my senior and we met during a human robotics project where we were trying to build robots, got interested in human robotics, built the AcYut and took part in a lot of competitions all around the world, represented India in the human robotics competitions. The ROBOlympics (now RoboGames) happens in San Francisco every year so the first time we came sixth, then got the bronze and then finally got the gold. We took part in the midsize humanoid category, which is basically where a human-looking robot, about a metre in height, is involved in a kung fu competition with another robot. These robots are remote-controlled. Then, we gradually started building autonomous humanoid robots to take part in a soccer competition for robots. So we added vision, so that the robots could kick the ball, and take their own autonomous decisions while playing. After this, we got requests for giving workshops/tutorials on humanoid robotics. Humanoid as a project is very expensive as it costs Rs40-45 lakh a year on three robots, so there was no option but to raise funds for the same. For this purpose, we formed a company and called it GreyOrange. We did about 35-40 workshops in 2011 and were enjoying ourselves but soon figured out this was not something we wanted to do in the long-term. So we shifted from doing workshops to doing product development for different companies like C&C Technologies in the US and some South Korean companies. But we were not getting good at anything because the products were from different domains. We realized that we were not building any core competency, so both Samay and I thought that we should try to focus on one particular industry. So we did some research, had some industries in mind for automation like the railways, which is highly non-automated, oil and gas maintenance, and  e-commerce and warehousing. The problem with the first two industries was that they were very slow at that time while e-commerce was developing, so we chose that industry to start  building products. At that point of time we also met Wolfgang Hoeltgen in Germany in one of the science and technology fairs at Hanover, and he really liked our idea and provided us with angel funding. In January 2012, we took our first office in Gurgaon and spent about Rs55 lakh on hardware prototyping and that was a really good decision because it helped our product development capability more than what anything else would have done. We started with two products: the butler system and sortation system, and fast forward to today where we have more than 500 people, three product lines (the butler system, linear sortation and cross-belt sortation), 50-plus installations.Describe your products and how they help automate warehouses?
Linear sortation systems are used to sort shipments. One of the major use case is once your shipments are picked and packed, they need to be sorted according to destinations or locations, because then they need to catch corresponding trucks or flights, so our sortation systems helps you sort that and also capture the volumetric and weight of the packetthis is required for billing for the courier company.Linear sortation system is like a conveyor machine that has arms that help in sorting packages and have different throughput which means the number of packets that can be sorted and weighed in an hour. So the machine can sort from 1,500 packets an hour to about 14,000 an hour. You can also use this system to combine different items in orders. What the butler system does is when an order is placed, then somebody takes a pick-list and picks the ordered objects from different parts of the warehouse, comes back, sorts them, packs them and sends them. The butler makes the picking, putting combining very, very easy. What it does is it completely transforms the paradigm from man going to the goods to goods coming to the man. In the butler system, the people stand at the periphery of the warehousewe call these pick-put stationsand the bots basically bring the racks to them for whatever they need to pick. Bots will then go and store the racks back to their location. So lets say in an apparel industry 120-180 items per day can be picked manually, the butler system can pick 300-600 items in an hourthats the kind of jump we are talking about in the throughput of the warehouse.  The whole process is really dynamic and the order goes directly to our server and the server directs the robots. This has reduced pilferage too, as we have limited the interaction of people to the periphery. What are your future plans and strategy?
There is a lot of innovation you can drive through these products, every six months we are driving new features, improving speed, giving more customization to our clients. There is room for a lot of optimization, efficiency and accuracy, so we are constantly working on that.  We have one major R&D (research and development) office in Gurgaon, but we have service centres across India. We are expanding to South-East Asia. We have an office in Singaporethere is a 14-people team that looks at solutions, marketing, sales. South-East Asia is a big market and since the past 12 months we are going aggressively into it. We have also invested in a company in Japan that is our exclusive partner for distributing our butler systems in there. So we are in process of installing butler systems in Japan. The Middle East is a growing market with Saudi Arabia, so we have set up an office there and we are starting operations there. We also have a small office in Hong Kong and are now looking to expand to Germany. So now our major impetus is expanding overseas and getting a few anchor clients overseas. As regards the products, we are building newer versions every 6-12 months. We invest heavily in R&D as thats the core of our company. We would like to disrupt our products every three years. We also have people working on R&D from outside India, so they can start contributing to the product since we expect to serve a global market so its important to get perspective from different geographies. We are hiring engineers from Germany and the US, so our R& D team is cross-geography. How do you envision your company 10 years down the line?
We are definitely looking to get public and an IPO (initial public offering) is one of the most viable options to take this forward. But not immediately. One thing we are trying to build at the core is a very strong product engine at the back-end, have a team of people who can produce very complex, good quality hardware plus software products, which is the core of the company. If you build a good product engine, then you can pick any industry and disrupt it by building these products. So we are giving thought to things like product life cycle, processes, how we train our engineers and build products that are reliable, have a high life cycle of 7-10 years, are of international quality and are globally acceptable. That is one of the challenges, so we really dont want only to build a butler or sorter but to build a strong product engine so that every three years we take an industry and disrupt it. Thats where we want to reach before we do any IPO.So the next 12-18 months are going to be all about global expansion and reducing our warehousing cost to the lowest possible and adding more products to our portfolio, so that we have a range of products. On the software side, we are building a platform that can run a warehouse end-to-end.",2016-09-26,0W6HaSp2RRPe1CYw3fkxXM,"Akash Gupta, co-founder and chief technology officer at GreyOrange, speaks about the journey of GreyOrange and its future plans
",competitor,23:52,A good product engine can disrupt any industry: GreyOranges Akash Gupta
-0.72,"New Delhi: Tata Consultancy Services Ltd (TCS) missed analysts estimates for both revenue and profit in the fourth fiscal quarter, even as Indias largest software services firms full-year sales rose 6.2% to $17.58 billion.
				   
				The company reported revenue of $4.45 billion in the three months ended 31 March, a 1.5% increase from the preceding quarter and 5.8% from the year-ago period. Net profit totalled $992 million, a 0.8% decline on a sequential basis and an increase of 5.8% from the year-ago period.A Bloomberg survey of 30 analysts had estimated TCS to report quarterly revenue of $4.62 billion and net profit of $1.03 billion in the quarter.Also read: TCS unperturbed by possible changes to H1B visa regimeFY17 was a year of broad-based growth amid economic and political turbulence in our key markets, said Rajesh Gopinathan, who took over as chief executive of TCS in February. We believe we are better placed for the year-ahead, said Gopinathan, who spent much time on the numbers, suggesting that the new CEO will take time to probably replicate the success managed by his predecessor N. Chandrasekaran, the current chairman of Tata Sons Ltd. At the heart of TCSs underperformance is the companys inability to generate more business from its largest customers, banks, in its largest market, the US. TCSs  banking, financial services and insurance (BFSI) segment, which accounts for over 40% of its revenue, grew 4.8% from a year earlier in constant currency terms. North America, which brings 54% of its business, reported a 4.3% rise.TCS does not give quarterly or annual forecasts but a few equity analysts are sceptical about the companys prospects. The January-March quarter marks the 10th straight quarter (the company has recorded slow growth since July 2014) in which TCS has either underperformed, or at best managed to keep up with estimates. Looking at this protracted slowdown, I believe TCS has reached a point where unless the company really brings about a change in the way it has done business, it will be tough for the company to ever beat street expectations, said a Mumbai-based analyst at a domestic brokerage, on the condition of anonymity. At best it can match street expectations.TCSs performance mirrors the poor show put up by Infosys Ltd last week, and this is worrying for three reasons.First, both growth and profitability for Indian IT firms is under pressure. Mumbai-based TCS reported a full-year increase of 8.3% in constant currency terms, similar to the full-year growth reported by Bengaluru-based Infosys (with $10.21 billion in revenue) although Infosys reported a higher 7.4% expansion in dollar revenue.Like Infosys, TCSs growth in 2016-17 was slower than in 2015-16: TCSs revenue growth in constant currency terms was 3.6 percentage points slower than the 11.9% increase in 2015-16. TCS added $1.03 billion in incremental revenue in the year ended 31 March 2017, less than $1.09 billion added in new business in 2015-16 when it reported a 7.1% increase and half of the $2.01 billion in new business added in 2014-15. TCSs operating margin in the January-March quarter and for the full year stood at 25.7%. Operating margin narrowed 80 basis points from 26.5% in 2015-16, again similar to Infosys, which too saw its profitability eroded as commoditized outsourcing contracts see intense pricing pressure.Despite falling short of its operating margin forecast of 26-28% in the last financial year, the companys management retained this guidance for the current fiscal year, which at least two analysts say will be impossible to achieve.In this kind of environment, where most companies want more skilled people at client-facing sides, when most countries are adopting a protectionist stance, it looks impossible to keep operating in that band, a Mumbai-based analyst at a foreign brokerage said, requesting anonymity.Second, despite higher growth in digital, which remains a fuzzy word, and the success of new and renew strategy rolled out by CEO Vishal Sikka to revive Infosys, both companies continue to be plagued by anaemic growth. This has made many analysts question if existing traditional contracts are merely getting rebadged as digital. A case in point: TCS claims its digital business grew 29% in the last year and now brings $3 billion in business.Finally, both TCS and Infosys continue to shy away from acquiring technology-focused firms. Infosys has not made a single acquisition in the last 18 months; TCS has looked away from acquiring a company since it partnered with Japans Mitsubishi Group in 2014. This is important because most large technology firms, including Accenture Plc, are looking at acquisitions to bring in new technology and skill sets. Nevertheless, the quarter does have some positives. For starters, the TCS management claimed that its insurance business under Diligenta and Japan has turned the corner, with Gopinathan expressing confidence of growth from these two lagging business units.On Tuesday, TCS shares fell 0.53% to Rs2,308.65 on BSE, while the benchmark Sensex declined 0.32% to 29,319.1 points. The results were announced after the end of trading in Mumbai.",2017-04-18,0iFeclCfsM3zRSZ13jiH6J,"Q4 revenue of Tata Consultancy Services (TCS) rose 5.8% from the year-ago period to $4.45 billion, while Q4 profit increases 5.8% to $992 million",competitor,17:35,TCS misses both revenue and profit estimates in March quarter
-0.15,"New Delhi: The countrys third largest software services firm Wipro is learnt to have fired hundreds of employees as part of its annual performance appraisal. 
				   
				According to sources, Wipro has shown the door to about 600 employees, while speculation was rife that the number could go as high as 2,000.  At the end of December 2016, the Bengaluru-based company had over 1.79 lakh employees. When contacted, Wipro said it undertakes a rigorous performance appraisal process on a regular basis to align its workforce with business objectives, strategic priorities of the company, and client requirements. The performance appraisal may also lead to the separation of some employees from the company and these numbers vary from year to year, it added. The company, however, did not comment on the number of employees that have been asked to leave. Wipro said its comprehensive performance evaluation process includes mentoring, re-training and upskilling of employees. The company is scheduled to report its fourth quarter and full-year numbers on 25 April.The development comes at a time when Indian IT companies are facing an uncertain environment given the curbs being proposed on worker visa norms by various countries like the US, Singapore, Australia and New Zealand.These companies use temporary work visas to send employees to work on client sites. With visa programmes in these countries becoming more rigorous, Indian IT companies are likely to face challenges in movement of labour as well as a spike in operational costs. Indian IT companies get over 60% of their revenues from the North American market, about 20% from Europe and the remaining from other economies. Besides, higher adoption of technologies like automation and artificial intelligence is also reducing the need to have a large number of employees at client site.",2017-04-20,0zrMJ80uYo9oi1Pj5tUaQI,"Wipro is learnt to have sacked 600 employees as part of its annual performance appraisal, at a time when IT firms are facing curbs on work visas in US and Australia",competitor,20:46,600 Wipro employees sacked after performance appraisal: report
-0.23,"Mumbai/New Delhi: Petrol and diesel prices in some cities will now see daily change in sync with international rates, according to two officials from oil marketing companies.
				   
				This will be effective 1 May in five cities including Puducherry and Visakhapatnam, Udaipur, Jamshedpur and Chandigarh as part of a pilot project. This will be extended to other parts of the country after an assessment of consumer response.Diesel and petrol prices move in tandem with the price of crude oil in most countries. In January, Mint reported that the fuel retailers plan to introduce dynamic pricing in India this year.We have been piloting dynamic pricing at a few of our retail outlets for some months now, and the response has been encouraging. This has allowed us to go ahead and introduce it formally, an executive director from an oil marketing company said on condition of anonymity as he is not allowed to talk to reporters.Currently, state-run fuel retailersIndian Oil Corp. Ltd  (IOCL), Bharat Petroleum Corp. Ltd (BPCL) and Hindustan Petroleum Corp. Ltd (HPCL)revise petrol and diesel prices on the 1st and 15th of every month based on average international price of the fuel in the preceding fortnight and the currency exchange rate.Due to the fortnightly revision of fuel prices, petroleum dealers were applying breaks (not lifting fuel daily) on uplifting of fuel. If the prices go up on the 1st or 15th of every month, there would be a rush to uplift products, else, the upliftment would be impacted. This would result in losses for OMCs and we wanted that this price predictability should go away. So  dynamic pricing will be a good bet, said a senior official from an oil marketing company on the condition of anonymity.Shares of Indian Oil fell 0.07% to Rs408.90 on BSE, Bharat Petroleum rose 1% to Rs717.60, Hindustan Petroleum rose 1% to Rs542.45 while Indias benchmark Sensex fell 0.49% to 29,643.48 points.Although state-run fuel retailers have the capability to revise petrol and diesel prices on a daily basis, what needs to be monitored is how consumers react to  price volatility, industry experts say.If there is heightened volatility in global markets due to geopolitical developments, it could get reflected in domestic retail prices too. Therefore, companies are doing the right thing in testing the model in pilot projects to see how its impact and consumer response. In the medium- to long-term, daily price revision may be a good idea as is practised elsewhere, said R.S. Butola, a former chairman of Indian Oil.Indian Oil chairman B. Ashok and Hindustan Petroleum chairman and managing director M.K Surana didnt immediately respond to phone calls seeking comment.Besides, global fuel prices and currency exchange rate, central and state taxes account for a major part of the fuel prices. It accounts for half of retail petrol price and 46% of retail diesel price. The central government collected Rs64,509 crore from petrol as excise duty in 2016-17 up to end-February, 20% more than what was collected in  the whole of FY16. Excise receipts from diesel jumped 36% in the same period to Rs1.37 trillion.",2017-04-12,1033fKpJyf66gjGfyGpUnO,"Fuel retailers including Indian Oil will change petrol and diesel prices daily in Puducherry, Visakhapatnam, Udaipur, Jamshedpur and Chandigarh",competitor,12:58,"Petrol, diesel prices to change daily from 1 May"
-0.48,"New Delhi: Developments in political arena, coupled with forces that want to shape the world into a place of exclusion, conflict and suspicion have raised questions and obstacles on the path to a better world in the past year, IT czar and philanthropist Azim Premji said. 
				   
				In a letter to Wipro employees, Premji urged them to increase their commitment to others and find common ground rather than focussing on conflicts. On the eve of the coming New Year, I must say that the year 2016, seems to have raised questions and obstacles, on the path to a better world, which cannot be ignored. These questions have arisen from developments in the political arena, from the fast unfolding environmental crisis and from forces that want to shape the world into a place of exclusion, conflict and suspicion, he wrote in his letter. He further said: Once we start addressing these issues head on rather than ignoring them, I am confident that we will continue to make progress. Also read: Vishal Sikka tells Infosys employees road ahead not easyYear 2016 saw two major developmentsBritain voting to leave the European Union and Donald Trump winning the US Presidential Election. Both the events have raised concerns for Indian IT firms, that now fear a more protectionist stance could come into these markets that together account for as much as 80% of the sectors export revenues. Premji highlighted four principles that can help people make a difference. We must find common ground, rather than focussing on conflicts. The reality of the world is that there will always be disagreement and differences between people, but finding common ground is the only way of moving forward. This is as true in business as in politics and social issues, and as true in personal as in public life, he said. He added that the importance of Wipros success has become manifold as this enables the possibility of making a difference to some of the most disadvantaged people in the world. About 40% of Wipro is owned by a philanthropic trust that works to improve conditions in Indian villages. Premji said one must have genuine concern for others and respect all human beings equally and this must manifest in action. We must recognise that societies, economies, and the environment are all deeply connected. Individual human beings and people find meaning in this connectedness, not in separation and isolation...So every effort of ours to find solutions and to find meaning, must strengthen this connectedness, he advised the employees. Lastly, he said it is important to have the courage to persevere for what is right and what is good. He said he meets people from all walks of life who are battling the most complex challenges, yet are unyielding in their efforts and positivism. This is what I see across the world, from San Francisco to Tokyo, all places that I go to, I meet people with the same spirit and fire. That includes an uncountable number of Wiproites. And that is why I am full of hope for a better world, a more just, equitable, humane and sustainable world. I know that if we persevere, we will prevail, he said.",2017-01-02,1BurSEK9jrvDyAcjrhM4hK,"In a letter to Wipro employees, Azim Premji urged them to increase their commitment to others and find common ground rather than focussing on conflicts",competitor,22:17,Azim Premji tells Wipro staff 2016 has raised obstacles on path to better world  
