,score
2015-11-04,-0.81
2016-02-12,-0.39
2016-03-09,-0.66
2016-03-14,0.91
2016-03-15,-0.21
2016-04-20,-0.31500000000000006
2016-04-29,-1.0
2016-05-24,-1.0
2016-05-31,-0.05
2016-06-06,0.49
2016-06-13,-0.09
2016-06-24,-0.66
2016-07-15,-0.63
2016-07-18,0.235
2016-07-29,-0.64
2016-09-02,-0.25
2016-09-04,-0.555
2016-09-10,-0.03
2016-09-22,-1.0
2016-09-26,-0.69
2016-09-27,-0.21
2016-09-29,-0.25
2016-10-02,0.27
2016-10-03,0.335
2016-10-04,1.0
2016-10-05,-0.53
2016-10-09,-0.62
2016-10-12,-0.01
2016-10-13,-0.3
2016-10-14,-0.16499999999999998
2016-10-16,-0.36
2016-10-17,0.335
2016-10-18,0.0
2016-10-19,-0.3233333333333333
2016-10-20,-0.19333333333333333
2016-10-23,-0.11499999999999999
2016-10-24,-0.504
2016-10-25,0.295
2016-10-26,-0.77
2016-10-27,-0.23
2016-10-28,0.27499999999999997
2016-10-29,-0.63
2016-11-01,-0.24
2016-11-02,-0.625
2016-11-03,-0.32333333333333336
2016-11-04,0.2233333333333333
2016-11-07,0.1875
2016-11-08,0.16666666666666666
2016-11-09,0.40666666666666673
2016-11-10,-0.0033333333333333457
2016-11-11,-0.22100000000000003
2016-11-12,-0.07
2016-11-13,0.17333333333333337
2016-11-14,-0.19
2016-11-15,-0.29
2016-11-17,-0.22
2016-12-08,0.36
2016-12-09,-0.46
2016-12-10,-0.44
2016-12-11,0.78
2016-12-12,0.22
2016-12-13,-0.37
2016-12-15,1.0
2016-12-16,0.1
2016-12-17,0.7
2016-12-20,-0.2325
2016-12-21,0.02
2016-12-22,0.3933333333333333
2016-12-23,-0.1466666666666667
2016-12-24,0.45
2016-12-25,-0.81
2016-12-30,-0.1
2017-01-02,-0.195
2017-01-03,-0.24
2017-01-04,-0.07500000000000001
2017-01-06,-0.74
2017-01-09,-0.26
2017-01-10,-0.245
2017-01-11,-0.4
2017-01-12,0.05499999999999999
2017-01-13,-0.3666666666666667
2017-01-15,-0.24
2017-01-16,-0.0050000000000000044
2017-01-20,0.029999999999999995
2017-01-21,0.165
2017-01-22,0.54
2017-01-23,-0.15111111111111108
2017-01-24,-0.18000000000000002
2017-01-25,-0.245
2017-01-26,-0.5349999999999999
2017-01-27,-0.25333333333333335
2017-01-30,-0.08500000000000002
2017-01-31,-0.1722222222222222
2017-02-01,-0.17
2017-02-02,-0.1375
2017-02-03,-0.092
2017-02-04,0.295
2017-02-07,0.76
2017-02-09,-0.75
2017-02-10,0.88
2017-03-08,-0.7949999999999999
2017-03-09,0.51
2017-03-21,-0.64
2017-03-24,-0.22999999999999998
2017-03-30,-0.32333333333333336
2017-03-31,0.09
2017-04-01,-0.31
2017-04-02,-0.25
2017-04-03,-0.55
2017-04-04,-0.35
2017-04-05,-0.2866666666666667
2017-04-06,-0.013333333333333345
2017-04-07,-0.185
2017-04-09,-1.0
2017-04-10,-0.07999999999999999
2017-04-11,-0.6
2017-04-12,-0.33125
2017-04-13,-0.5325
2017-04-14,-0.25333333333333335
2017-04-18,-0.04285714285714285
2017-04-19,-0.344
2017-04-20,-0.2975
2017-04-21,-0.22285714285714286
2017-04-22,0.21
