,score
2015-11-04,0.0
2016-02-12,0.0
2016-03-09,-0.66
2016-03-14,0.91
2016-03-15,0.008000000000000002
2016-04-20,-0.28
2016-04-29,-1.0
2016-05-24,-0.22999999999999998
2016-05-31,0.0
2016-06-06,0.0
2016-06-13,-0.22499999999999998
2016-06-24,-0.435
2016-07-15,0.0
2016-07-18,-0.3166666666666667
2016-07-29,0.0
2016-09-02,-0.43
2016-09-04,0.0
2016-09-10,-0.2816666666666667
2016-09-22,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-29,0.0
2016-10-02,0.0
2016-10-03,0.19000000000000003
2016-10-04,0.21000000000000002
2016-10-05,-0.402
2016-10-09,0.0
2016-10-12,-0.13
2016-10-13,-0.3233333333333333
2016-10-14,-0.1325
2016-10-16,0.0
2016-10-17,0.335
2016-10-18,0.075
2016-10-19,-0.29
2016-10-20,-0.3
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.002499999999999997
2016-10-26,-0.25333333333333335
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,-0.63
2016-11-01,-0.062
2016-11-02,-0.35
2016-11-03,-0.05666666666666667
2016-11-04,-0.09999999999999999
2016-11-07,0.08
2016-11-08,0.0
2016-11-09,0.40666666666666673
2016-11-10,-0.05666666666666667
2016-11-11,0.000833333333333334
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,-0.1318181818181818
2016-11-15,-0.07727272727272726
2016-11-17,-0.054999999999999986
2016-12-08,0.0
2016-12-09,0.155
2016-12-10,-0.44
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-15,0.16833333333333333
2016-12-16,0.0
2016-12-17,0.7
2016-12-20,-0.184
2016-12-21,0.02
2016-12-22,0.04800000000000001
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-30,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-06,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,-0.215
2017-01-12,0.0
2017-01-13,0.0
2017-01-15,0.0
2017-01-16,-0.14
2017-01-20,-0.05499999999999999
2017-01-21,-0.03666666666666667
2017-01-22,0.0
2017-01-23,-0.34900000000000003
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,-0.39875
2017-01-27,0.0
2017-01-30,0.0
2017-01-31,0.013571428571428566
2017-02-01,-0.17
2017-02-02,0.0
2017-02-03,-0.15
2017-02-04,0.415
2017-02-07,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-03-08,-0.215
2017-03-09,-0.3885714285714285
2017-03-21,0.0
2017-03-24,-0.08249999999999999
2017-03-30,-0.4475
2017-03-31,0.09
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,-0.20333333333333334
2017-04-06,0.07571428571428572
2017-04-07,-0.16799999999999998
2017-04-09,0.0
2017-04-10,-0.05499999999999999
2017-04-11,-0.6
2017-04-12,-0.14
2017-04-13,0.0
2017-04-14,-0.18999999999999997
2017-04-18,-0.08125
2017-04-19,-0.18399999999999997
2017-04-20,-0.25
2017-04-21,-0.029999999999999992
2017-04-22,0.0
